instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,fixcross_onsetMain,trialNumber,key_resp.keys,item_chosen_name,item_chosen_value,item_chosen_ID,diff_chosen_minus_reject,key_resp.rt,acc_real,acc_feedback,P1_onset,P2_onset,feedb_onset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trial,ValueP1,ValueP2,P1name,P2name,P1Loc,P2Loc,P1id,P2id,Micro_categoryP1,Macro_categoryP1,Micro_categoryP2,Macro_categoryP2,ID_sequenceP1,ID_sequenceP2,InverseFb,pNumber
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,right,0,0.038,0,0,0,0,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,right,0,0.1429,0,0,1,1,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,down,1,4.1585,1,0,2,2,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,down,1,1.0486,1,0,3,3,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4775,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3366,1,NaN,No_response,NaN,NaN,NaN,NaN,2,2,101.3558,101.3558,103.8541,0,0,0,0,1,1,8,1,redfox      ,calculator    ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/09_calculator.jpg,1,9,1,1,4,2,1,7,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9536,2,left,redfox      ,8,1,1,1.6376,1,1,104.9727,104.9727,107.4697,0,1,1,1,1,2,8,7,redfox      ,hat           ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/08_hat.jpg,1,8,1,1,3,2,1,6,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5708,3,right,redfox      ,8,1,6,0.6837,1,3,108.604,108.604,111.1024,0,2,2,2,1,3,2,8,radio       ,redfox      ,html/resources/sequences_IDs/B/10_radio.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,10,1,4,2,1,1,8,1,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7032,4,right,redfox      ,8,1,7,0.8027,1,3,111.7206,111.7206,114.2192,0,3,3,3,1,4,1,8,calculator    ,redfox      ,html/resources/sequences_IDs/A/09_calculator.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,9,1,4,2,1,1,7,1,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,114.8364,5,left,parrot      ,4,5,1,1.1033,1,1,114.8539,114.8539,117.3524,0,4,4,4,1,5,4,3,parrot      ,clownfish     ,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,5,4,2,1,2,1,4,3,0,92
