instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,key_respAC_prac.rt
10,0,10,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,13,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,14,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,15,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,16,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,17,0,1,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,41.35843,1,right,1.087865,canary,1,41.40415,41.40415,43.903905,0,0,0,0,1,2,5,1,html/resources/stimuli_practice_decision/04_beetle.jpg,html/resources/stimuli_practice_decision/02_canary.jpg,beetle,canary,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,44.455965,2,left,1.12622,rabbit,1,44.4883,44.4883,46.987415,0,1,1,1,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,47.98931,3,right,1.27944,beetle,0,48.02304,48.02304,50.522385,0,2,2,2,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,51.02504,4,left,1.4983,glasses,1,51.057485,51.057485,53.557035,0,3,3,3,1,7,1,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/08_handmixer.jpg,glasses,handmixer,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,54.057805,5,left,0.929885,glasses,1,54.092245,54.092245,56.591855,0,4,4,4,1,7,6,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,glasses,pullover,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,57.593155,6,left,1.557985,rabbit,0,57.6282,57.6282,60.126465,0,5,5,5,1,4,7,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,rabbit,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,60.627155,7,right,1.29175,beetle,1,60.64526,60.64526,63.144555,0,6,6,6,1,1,2,1,html/resources/stimuli_practice_decision/08_handmixer.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,handmixer,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,64.14787,8,left,1.24056,rabbit,1,64.180895,64.180895,66.67941,0,7,7,7,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,3,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.62824,0,0,0,0,1,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,114.770365,9,right,1.258135,glasses,1,114.785325,114.785325,117.28504,0,0,0,0,1,6,7,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,pullover,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,118.286755,10,right,1.00722,beetle,0,118.320925,118.320925,120.81996,0,1,1,1,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,121.33788,11,left,1.24699,canary,0,121.35479,121.35479,123.854605,0,2,2,2,1,5,6,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,canary,pullover,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,124.857605,12,left,1.81077,squirrel,1,124.874655,124.874655,127.372685,0,3,3,3,1,8,7,1,html/resources/stimuli_practice_decision/03_squirrel.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,squirrel,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,128.37356,13,left,1.676455,canary,1,128.39122,128.39122,130.890865,0,4,4,4,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,131.39389,14,left,1.46103,glasses,0,131.412495,131.412495,133.908855,0,5,5,5,1,7,8,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/03_squirrel.jpg,glasses,squirrel,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,134.91214,15,right,1.645455,rabbit,0,134.929255,134.929255,137.427095,0,6,6,6,1,5,4,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/01_rabbit.jpg,canary,rabbit,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,138.429385,16,right,1.382675,sock,0,138.44758,138.44758,140.945415,0,7,7,7,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,right,0,0,0,0,0,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,,4.02711
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,right,0,0,0,1,1,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down,,,,,,,,1.00715
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,right,0,0,0,2,2,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up,,,,,,,,0.65695
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,right,0,0,0,3,3,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down,,,,,,,,0.611905
,,,,,61,2020-07-04_17h17.14.614,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.14195,1,0,1,0,1,
